2025-06-22 19:39:30.617 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:40:00.412 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:42:29.449 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:44:04.024 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:47:03.244 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:47:46.787 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:48:41.653 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:48:56.831 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:49:45.751 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:50:25.224 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:50:25.978 | INFO     | utils.icon_manager:__init__:109 | 桌面图标管理器初始化完成
2025-06-22 19:50:25.979 | INFO     | perception:__init__:80 | 桌面感知系统初始化完成
2025-06-22 19:50:25.979 | INFO     | execution:__init__:463 | 执行引擎初始化完成
2025-06-22 19:50:48.611 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:50:49.562 | INFO     | utils.icon_manager:__init__:109 | 桌面图标管理器初始化完成
2025-06-22 19:50:49.562 | INFO     | perception:__init__:80 | 桌面感知系统初始化完成
2025-06-22 19:50:49.563 | INFO     | perception:create_desktop_snapshot:91 | 开始创建桌面状态快照
2025-06-22 19:50:49.568 | WARNING  | utils.icon_manager:get_all_icon_positions:169 | ListView句柄无效，无法获取图标位置
2025-06-22 19:50:49.569 | INFO     | utils.logger:wrapper:140 | 执行完成: get_all_icon_positions (耗时: 0.001秒)
2025-06-22 19:50:49.569 | ERROR    | utils.icon_manager:get_desktop_regions:366 | 获取桌面区域失败: unsupported operand type(s) for //: 'NoneType' and 'int'
2025-06-22 19:50:49.569 | INFO     | perception:create_desktop_snapshot:130 | 桌面快照创建完成: 45 个文件
2025-06-22 19:50:49.570 | INFO     | utils.logger:wrapper:140 | 执行完成: create_desktop_snapshot (耗时: 0.007秒)
2025-06-22 19:50:49.572 | INFO     | perception:save_snapshot_to_file:396 | 桌面快照已保存: C:\Users\17745\data\demo_snapshot.json
2025-06-22 19:50:49.574 | INFO     | execution:__init__:463 | 执行引擎初始化完成
2025-06-22 19:51:44.872 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:55:19.022 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 19:56:18.237 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:27:29.952 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:27:30.222 | INFO     | utils.ai_providers:_setup_provider:150 | 使用Groq AI提供商
2025-06-22 20:27:41.210 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:27:41.469 | INFO     | utils.ai_providers:_setup_provider:150 | 使用Groq AI提供商
2025-06-22 20:27:41.967 | INFO     | utils.icon_manager:__init__:109 | 桌面图标管理器初始化完成
2025-06-22 20:27:41.968 | INFO     | perception:__init__:80 | 桌面感知系统初始化完成
2025-06-22 20:27:41.968 | INFO     | perception:create_desktop_snapshot:91 | 开始创建桌面状态快照
2025-06-22 20:27:41.974 | WARNING  | utils.icon_manager:get_all_icon_positions:169 | ListView句柄无效，无法获取图标位置
2025-06-22 20:27:41.976 | INFO     | utils.logger:wrapper:140 | 执行完成: get_all_icon_positions (耗时: 0.001秒)
2025-06-22 20:27:41.976 | ERROR    | utils.icon_manager:get_desktop_regions:366 | 获取桌面区域失败: unsupported operand type(s) for //: 'NoneType' and 'int'
2025-06-22 20:27:41.976 | INFO     | perception:create_desktop_snapshot:130 | 桌面快照创建完成: 45 个文件
2025-06-22 20:27:41.976 | INFO     | utils.logger:wrapper:140 | 执行完成: create_desktop_snapshot (耗时: 0.007秒)
2025-06-22 20:27:41.978 | INFO     | perception:save_snapshot_to_file:396 | 桌面快照已保存: C:\Users\17745\data\demo_snapshot.json
2025-06-22 20:27:41.980 | INFO     | execution:__init__:463 | 执行引擎初始化完成
2025-06-22 20:28:26.061 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:28:26.313 | INFO     | utils.ai_providers:_setup_provider:150 | 使用Groq AI提供商
2025-06-22 20:28:26.808 | INFO     | utils.icon_manager:__init__:109 | 桌面图标管理器初始化完成
2025-06-22 20:28:26.808 | INFO     | perception:__init__:80 | 桌面感知系统初始化完成
2025-06-22 20:28:26.808 | INFO     | perception:create_desktop_snapshot:91 | 开始创建桌面状态快照
2025-06-22 20:28:26.814 | WARNING  | utils.icon_manager:get_all_icon_positions:169 | ListView句柄无效，无法获取图标位置
2025-06-22 20:28:26.814 | INFO     | utils.logger:wrapper:140 | 执行完成: get_all_icon_positions (耗时: 0.000秒)
2025-06-22 20:28:26.815 | ERROR    | utils.icon_manager:get_desktop_regions:366 | 获取桌面区域失败: unsupported operand type(s) for //: 'NoneType' and 'int'
2025-06-22 20:28:26.815 | INFO     | perception:create_desktop_snapshot:130 | 桌面快照创建完成: 45 个文件
2025-06-22 20:28:26.815 | INFO     | utils.logger:wrapper:140 | 执行完成: create_desktop_snapshot (耗时: 0.007秒)
2025-06-22 20:28:26.819 | INFO     | perception:save_snapshot_to_file:396 | 桌面快照已保存: C:\Users\17745\data\demo_snapshot.json
2025-06-22 20:28:26.819 | ERROR    | strategy:_initialize_gemini:120 | Gemini初始化失败: 请在config.ini中配置有效的Gemini API密钥
2025-06-22 20:28:26.821 | INFO     | execution:__init__:463 | 执行引擎初始化完成
2025-06-22 20:29:01.499 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:29:01.753 | INFO     | utils.ai_providers:_setup_provider:150 | 使用Groq AI提供商
2025-06-22 20:29:02.237 | INFO     | utils.icon_manager:__init__:109 | 桌面图标管理器初始化完成
2025-06-22 20:29:02.238 | INFO     | perception:__init__:80 | 桌面感知系统初始化完成
2025-06-22 20:29:02.238 | INFO     | perception:create_desktop_snapshot:91 | 开始创建桌面状态快照
2025-06-22 20:29:02.243 | WARNING  | utils.icon_manager:get_all_icon_positions:169 | ListView句柄无效，无法获取图标位置
2025-06-22 20:29:02.243 | INFO     | utils.logger:wrapper:140 | 执行完成: get_all_icon_positions (耗时: 0.000秒)
2025-06-22 20:29:02.243 | ERROR    | utils.icon_manager:get_desktop_regions:366 | 获取桌面区域失败: unsupported operand type(s) for //: 'NoneType' and 'int'
2025-06-22 20:29:02.244 | INFO     | perception:create_desktop_snapshot:130 | 桌面快照创建完成: 45 个文件
2025-06-22 20:29:02.244 | INFO     | utils.logger:wrapper:140 | 执行完成: create_desktop_snapshot (耗时: 0.006秒)
2025-06-22 20:29:02.246 | INFO     | perception:save_snapshot_to_file:396 | 桌面快照已保存: C:\Users\17745\data\demo_snapshot.json
2025-06-22 20:29:02.247 | INFO     | strategy:__init__:98 | AI策略引擎初始化完成 - 使用Groq AI
2025-06-22 20:29:02.248 | INFO     | strategy:generate_rules_from_llm:210 | 开始使用Groq AI生成整理规则
2025-06-22 20:29:02.248 | INFO     | utils.ai_providers:generate_rules:36 | 正在调用Groq API生成规则...
2025-06-22 20:29:04.250 | INFO     | utils.ai_providers:generate_rules:83 | Groq API调用成功，规则生成完毕
2025-06-22 20:29:04.251 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_001
2025-06-22 20:29:04.252 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_002
2025-06-22 20:29:04.253 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_003
2025-06-22 20:29:04.253 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_004
2025-06-22 20:29:04.253 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_005
2025-06-22 20:29:04.254 | WARNING  | strategy:_validate_and_optimize_rules:380 | 跳过无效规则: groq_rule_006
2025-06-22 20:29:04.254 | INFO     | strategy:_validate_and_optimize_rules:400 | 规则验证完成: 0/0 有效
2025-06-22 20:29:04.254 | INFO     | strategy:generate_rules_from_llm:226 | Groq AI规则生成成功: 0 条规则
2025-06-22 20:29:04.266 | INFO     | strategy:save_rules_to_file:451 | 规则集已保存: D:\python项目\Aether_Desktop\data\demo_rules.json
2025-06-22 20:29:04.268 | INFO     | execution:__init__:463 | 执行引擎初始化完成
2025-06-22 20:34:19.406 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:34:19.677 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:34:19.678 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:34:19.678 | INFO     | utils.ai_providers:_setup_providers:287 | 自动选择AI提供商: openrouter
2025-06-22 20:34:19.679 | INFO     | utils.ai_providers:switch_provider:305 | 切换到AI提供商: openrouter
2025-06-22 20:34:19.680 | INFO     | utils.ai_providers:generate_rules:339 | 使用 OpenRouter (meta-llama/llama-3.1-8b-instruct:free) 生成规则
2025-06-22 20:34:19.680 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:34:20.607 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 401 - {"error":{"message":"No auth credentials found","code":401}}
2025-06-22 20:34:51.191 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:34:51.475 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:34:51.476 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:34:51.476 | INFO     | utils.ai_providers:_setup_providers:287 | 自动选择AI提供商: openrouter
2025-06-22 20:36:51.329 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:36:51.609 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:36:51.610 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:36:51.610 | INFO     | utils.ai_providers:_setup_providers:287 | 自动选择AI提供商: openrouter
2025-06-22 20:36:51.611 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:36:53.075 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 401 - {"error":{"message":"No auth credentials found","code":401}}
2025-06-22 20:36:53.076 | INFO     | utils.ai_providers:switch_provider:305 | 切换到AI提供商: openrouter
2025-06-22 20:36:53.077 | INFO     | utils.ai_providers:generate_rules:339 | 使用 OpenRouter (meta-llama/llama-3.1-8b-instruct:free) 生成规则
2025-06-22 20:36:53.077 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:36:54.089 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 401 - {"error":{"message":"No auth credentials found","code":401}}
2025-06-22 20:36:54.090 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:36:55.047 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 401 - {"error":{"message":"No auth credentials found","code":401}}
2025-06-22 20:36:55.048 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: microsoft/phi-3-mini-128k-instruct:free
2025-06-22 20:36:55.857 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 401 - {"error":{"message":"No auth credentials found","code":401}}
2025-06-22 20:36:55.858 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: google/gemma-7b-it:free
2025-06-22 20:36:56.590 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 401 - {"error":{"message":"No auth credentials found","code":401}}
2025-06-22 20:37:35.381 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:37:35.631 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:37:35.631 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:37:35.631 | INFO     | utils.ai_providers:_setup_providers:287 | 自动选择AI提供商: openrouter
2025-06-22 20:39:53.181 | INFO     | utils.logger:setup_logger:85 | 日志系统初始化完成
2025-06-22 20:39:53.462 | INFO     | utils.ai_providers:_setup_providers:265 | 注册OpenRouter提供商: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:39:53.462 | INFO     | utils.ai_providers:_setup_providers:272 | 注册Groq提供商: llama3-8b-8192
2025-06-22 20:39:53.462 | INFO     | utils.ai_providers:_setup_providers:287 | 自动选择AI提供商: openrouter
2025-06-22 20:39:53.463 | INFO     | utils.ai_providers:generate_rules:145 | 正在调用OpenRouter API生成规则... 模型: meta-llama/llama-3.1-8b-instruct:free
2025-06-22 20:39:54.333 | ERROR    | utils.ai_providers:generate_rules:203 | OpenRouter API错误: 401 - {"error":{"message":"No auth credentials found","code":401}}
